   id   |   name    | gender |        inserted_at         |         updated_at         | best_year | best_rank | proj  | krat | nrat 
--------+-----------+--------+----------------------------+----------------------------+-----------+-----------+-------+------+------
 737938 | Dorothy   | F      | 2018-02-11 05:24:49.620558 | 2018-02-18 02:33:10.750482 |      1927 |         2 |   574 |    3 |    3
 737892 | Ruth      | F      | 2018-02-11 05:24:49.588203 | 2018-02-18 02:25:30.082829 |      1893 |         3 |   287 |    1 |    3
 737826 | Hattie    | F      | 2018-02-11 05:24:49.535687 | 2018-02-18 02:29:47.302788 |      1880 |        27 |   417 |    3 |    2
 745796 | Wendy     | F      | 2018-02-11 05:24:58.914086 | 2018-02-18 02:26:08.094645 |      1970 |        28 |   924 |    1 |    2
 739007 | Helga     | F      | 2018-02-11 05:24:50.549754 | 2018-02-18 02:26:22.895055 |      1899 |       569 | 10000 |    1 |    2
 737932 | Evelyn    | F      | 2018-02-11 05:24:49.61653  | 2018-02-18 02:30:49.362415 |      1915 |        10 |     8 |    4 |    3
 804159 | Arachne   | F      | 2018-02-17 20:51:44.370438 | 2018-02-18 02:29:34.573555 |      1799 |      1000 |  1000 |      |    5
 803607 | Sylvanas  | F      | 2018-02-11 05:29:20.144014 | 2018-02-18 02:29:41.558667 |      2016 |     13872 | 17744 |      |    2
 738164 | Samantha  | F      | 2018-02-11 05:24:49.785532 | 2018-02-18 02:26:03.096505 |      1998 |         3 |    55 |    2 |    2
 738264 | Veronica  | F      | 2018-02-11 05:24:49.861847 | 2018-02-18 02:31:57.415436 |      1983 |        68 |   453 |    5 |    2
 738015 | Olga      | F      | 2018-02-11 05:24:49.673647 | 2018-02-18 02:33:58.667971 |      1916 |       126 |  4493 |      |    1
 737807 | Alice     | F      | 2018-02-11 05:24:49.517981 | 2018-02-18 02:26:30.710819 |      1906 |         8 |    54 |    1 |    3
 737824 | Gertrude  | F      | 2018-02-11 05:24:49.534284 | 2018-02-18 02:25:33.483488 |      1906 |        22 |  1782 |    1 |    2
 737949 | Winifred  | F      | 2018-02-11 05:24:49.627959 | 2018-02-18 02:26:20.961577 |      1917 |       141 |  1084 |    2 |    2
 737894 | Olive     | F      | 2018-02-11 05:24:49.589541 | 2018-02-18 02:25:39.213136 |      1893 |        82 |   261 |    1 |    2
 738114 | Priscilla | F      | 2018-02-11 05:24:49.746841 | 2018-02-18 02:26:17.994909 |      1940 |       127 |   466 |    1 |    2
 738150 | Vivian    | F      | 2018-02-11 05:24:49.772873 | 2018-02-18 02:32:06.858396 |      1920 |        64 |    93 |    4 |    3
 738105 | Octavia   | F      | 2018-02-11 05:24:49.740598 | 2018-02-18 02:32:02.996509 |      1880 |       306 |  -445 |    4 |    2
(18 rows)

